,CoinName,0,1,class
469,Oduwa,-0.4316243,-25.76065,0
471,Galilel,8.342479,-18.187204,0
474,Credit,0.6641672,-18.319942,0
477,Nasdacoin,-2.2216082,-25.83924,0
478,Beetle Coin,-19.939005,-21.60935,0
479,Titan Coin,6.6090183,-19.112356,0
480,Award,-17.180536,-18.372187,0
484,Insane Coin,-18.202837,-18.405674,0
486,LiteDoge,0.7662386,-19.104483,0
488,TruckCoin,-17.422873,-18.48705,0
490,OrangeCoin,-2.7383587,-24.968884,0
492,BitstarCoin,-1.6226435,-25.940706,0
494,HyperCoin,0.57980037,-25.624153,0
495,PinkCoin,-16.254915,-18.65562,0
497,AudioCoin,-0.7817072,-20.622923,0
498,IncaKoin,5.917563,-18.710747,0
499,Piggy Coin,-15.957821,-18.453203,0
501,Genstake,-2.0514226,-25.996006,0
503,XiaoMiCoin,-2.5012774,-22.461843,0
505,CapriCoin,-17.12395,-18.494377,0
506, ClubCoin,-2.967679,-24.339592,0
510,Creditbit ,-8.9383135,-20.534445,0
511,OKCash,7.6072655,-18.243069,0
514,WhiteCoin,-2.595309,-23.04791,0
517,Triangles Coin,-18.38682,-21.443691,0
528,Gapcoin,-2.731648,-24.553724,0
