,CoinName,0,1,class
10,Bitshares,13.078016,28.503872,1
13,PayCoin,14.565219,27.56305,1
34,CasinoCoin,11.68005,25.983047,1
42,Exclusive Coin,16.953707,25.340923,1
50,HyperStake,9.127575,31.92809,1
60,MintCoin,11.91922,27.907927,1
63,Nautilus Coin,12.762001,29.361444,1
76,SuperCoin,9.377661,32.177513,1
79,TeslaCoin,17.288311,23.334139,1
81,TittieCoin,17.16572,24.126677,1
94,Crypti,17.288044,23.334263,1
100,BurstCoin,11.249238,29.08278,1
101,StorjCoin,17.303417,20.835598,1
106,RubyCoin,12.37586,29.46437,1
110,Dnotes,12.494183,28.938726,1
116,Ucoin,9.37836,32.17849,1
133,Squall Coin,8.008568,32.68365,1
136,Diggits,12.226287,29.162514,1
154,GPU Coin,12.232676,29.141851,1
160,ZeitCoin,11.567724,25.854174,1
162,SafeExchangeCoin,11.322262,28.90289,1
163,Nebuchadnezzar,16.919163,25.348454,1
172,Let it Ride,17.194445,24.646797,1
176,MudraCoin,8.883065,32.2197,1
178,Lutetium Coin,9.139667,31.933544,1
190,BitCurrency,12.223056,29.169281,1
195,Opair,16.582747,25.222485,1
199,CoffeeCoin,16.590849,25.231165,1
200,RoyalCoin,9.097915,32.431694,1
202,TeamUP,16.571629,24.801035,1
206,ARK,19.534035,21.686594,1
212,FreeCoin,16.710665,25.320131,1
216,Creatio,16.887808,25.35575,1
226,PandaCoin,11.8132105,26.06247,1
229,Allsafe,14.919126,27.189955,1
241,Zilbercoin,12.774971,29.33033,1
244,FindCoin,8.883655,32.22134,1
250,RenosCoin,12.779698,29.311834,1
256,Atmos,16.558704,24.819765,1
259,MacronCoin,16.502666,24.960901,1
264,ProCurrency,12.155309,25.851181,1
267,GrowthCoin,12.435967,28.86847,1
269,Phreak,17.17451,25.13323,1
272,Ultimate Secure Cash,14.561533,27.559507,1
274,QTUM,17.190016,24.644478,1
296,Signatum,11.391564,30.228128,1
301,Draftcoin,12.761968,29.362871,1
304,Stakecoin,17.175047,25.132038,1
313,Obsidian,13.247589,28.714027,1
314,Cardano,12.726154,25.355074,1
321,Rupee,17.304958,22.950825,1
331,KekCoin,17.13279,24.362284,1
333,Infinity Economics,13.831011,27.205147,1
339,Lamden Tau,19.533978,21.686607,1
347,Bulwark,17.278488,23.506115,1
348,Kalkulus,14.918728,27.189833,1
358,Digiwage,14.916185,27.188225,1
363,Monkey Project,9.378313,32.178715,1
367,TokenPay,17.195559,24.647148,1
368,1717 Masonic Commemorative Token,17.298761,21.147617,1
377,Tokyo Coin,8.874454,32.1991,1
378,BiblePay,14.721707,23.84613,1
384,Poa Network,14.854421,23.888193,1
387,Velox,12.7788515,29.192184,1
388,Ontology,9.511846,31.81077,1
397,MedicCoin,12.451842,28.936487,1
399,Bitcoin Green,17.293156,21.266363,1
400,Deviant Coin,16.567915,24.806637,1
402,Semux,13.723019,23.636553,1
405,Zealium,17.174963,25.131847,1
407,Proton,8.900802,32.640625,1
411,Bitcoin Incognito,7.99318,32.754467,1
413,HollyWoodCoin,12.2873535,29.393984,1
419,Xt3ch,12.369041,29.45934,1
424,Dekado,8.923899,32.55232,1
425,Lynx,11.372475,25.630095,1
426,Poseidon Quark,14.906193,27.180073,1
427,BitcoinWSpectrum,14.561406,27.560677,1
428,Muse,17.302242,20.949835,1
433,Dystem,14.919163,27.18989,1
435,Peony Coin,12.2349615,28.35386,1
437,Vitae,14.914124,27.187998,1
444,ARENON,9.377455,32.176376,1
446,MMOCoin,12.558977,28.961252,1
447,Ketan,16.5707,24.802816,1
450,PAXEX,9.1601715,31.948122,1
455,Acute Angle Cloud,19.56298,21.686985,1
457,Bettex coin,8.879285,32.723537,1
461,Junson Ming Chan Coin,8.956551,31.701357,1
466,PirateCash,17.301317,21.063774,1
473,Crypto Sports,14.919555,27.19004,1
476,Dash Platinum,9.378407,32.17859,1
485,ALAX,19.533794,21.686464,1
493,NeosCoin,14.565388,27.563004,1
507,Radium,17.174597,25.133497,1
512,Lisk,19.534044,21.68652,1
513,HiCoin,12.028092,28.101625,1
519,EOS,19.534105,21.686657,1
521,Oxycoin,19.533968,21.686905,1
522,TigerCash,14.496535,27.526453,1
523,Waves,19.011726,22.057686,1
524,Particl,16.567345,24.808155,1
526,Nxt,17.866829,25.54833,1
527,ZEPHYR,13.779955,23.625875,1
531,BitcoinPlus,12.540143,29.504976,1
