,CoinName,0,1,class
2,EliteCoin,-0.64101636,3.4074688,2
4,Ethereum,13.516531,-0.03542104,2
7,Monero,10.10794,2.775551,2
8,Ethereum Classic,13.667703,0.1219579,2
9,ZCash,12.831371,0.49901912,2
11,DigiByte,17.792381,-4.6545186,2
20,MyriadCoin,18.083359,-3.761412,2
21,MoonCoin,-0.42073366,3.4264922,2
27,Riecoin,14.521633,-0.6032029,2
35,Diamond,10.678572,-13.365798,2
36,Verge,17.791588,-4.6989007,2
45,FeatherCoin,18.704638,-3.9264512,2
59,MediterraneanCoin,15.359886,-1.2621937,2
69,Orbitcoin,10.064007,-14.867979,2
91,Vertcoin,17.506342,-3.0145144,2
98,ByteCoin,1.4944144,3.239096,2
99,DigitalNote ,8.490755,2.9141,2
104,FairCoin,10.678464,-13.365679,2
117,Unitus,18.405918,-3.2903335,2
122,Cryptonite,17.861177,-3.5487523,2
129,Crypto,17.281881,-2.7340271,2
137,Expanse,13.503816,-0.04657034,2
139,Siacoin,7.62026,3.0300539,2
144,Decred,6.7112446,4.3983283,2
146,HOdlcoin,8.445165,4.981898,2
152,PWR Coin,9.874683,-14.712547,2
156,SoilCoin,11.676528,1.527667,2
169,VIP Tokens,10.11003,-14.738017,2
179,Komodo,7.163015,-14.181311,2
182,Karbo,9.597429,3.4989247,2
187,Circuits of Value,18.11006,-3.7077193,2
198,ZCoin,17.948423,-2.964078,2
204,Elementrem,13.506684,-0.044287115,2
205,ZClassic,12.831283,0.49793243,2
224,Cannabis Industry Coin,9.596719,3.498444,2
232,Bikercoins,9.5941515,3.4970288,2
233,HexxCoin,17.283709,-2.731718,2
240,Citadel,10.099283,2.7678852,2
246,Zero,12.83094,0.49711072,2
249,Zoin,17.282417,-2.7329216,2
251,DubaiCoin,12.179161,1.1549026,2
253,TajCoin,6.700229,4.4048147,2
258,Coinonat,18.650345,-3.438668,2
275,Quantum Resistant Ledger,10.099977,2.7672353,2
276,Espers,6.4843855,3.7358003,2
277,Dynamic,8.467341,4.852719,2
278,Nano,8.678895,4.2454333,2
279,ChanCoin,8.916067,3.8231652,2
280,Dinastycoin,9.090734,3.00641,2
281,Denarius,10.112034,-14.738361,2
283,Virta Unique Coin,10.1100645,-14.73792,2
291,LeviarCoin,9.58584,3.4937334,2
294,gCn Coin,-0.38312218,3.4312708,2
295,SmartCash,16.71721,-2.3414316,2
312,Sumokoin,9.57761,3.4918027,2
316,BitcoinZ,13.628398,1.4309922,2
317,TrezarCoin,10.057131,-14.86509,2
320,VIVO Coin,18.821201,-3.7658215,2
322,Bitcoin Gold,12.834551,0.50435454,2
325,NamoCoin,10.090799,-14.732654,2
326,LUXCoin,9.97358,-15.115692,2
327,Pirl,11.676456,1.5282524,2
335,Innova,18.814201,-3.7823043,2
336,Ellaism,13.653921,0.10666393,2
337,GoByte,18.82055,-3.7719104,2
340,Electra,9.163228,-14.624524,2
342,SHIELD,18.133907,-3.6627264,2
344,UltraNote,6.3813996,2.708153,2
345,BitCoal,9.597629,3.499147,2
346,DaxxCoin,13.84977,0.5638655,2
350,Lethean,9.960262,2.623062,2
355,Photon,6.3269563,2.7522633,2
357,SparksPay,18.821331,-3.7657218,2
359,GunCoin,18.690557,-3.941879,2
366,Interzone,8.803532,4.03929,2
370,TurtleCoin,0.8751378,3.4202049,2
373,Niobio Cash,9.256592,3.136673,2
375,Travelflex,11.678233,1.5271654,2
376,KREDS,17.444078,-3.110241,2
383,Stipend,6.6892133,4.4138517,2
389,Callisto Network,13.796076,0.41975418,2
390,BitTube,9.21912,3.136794,2
392,Aidos Kuneen,15.8939085,-1.674905,2
393,Bitspace,10.111501,-14.738187,2
396,Bitrolium,12.948187,0.7043388,2
398,Alpenschillling,17.698696,-3.2702634,2
406,Monero Classic,9.593989,3.4966507,2
409,Jumpcoin,18.650763,-3.4385476,2
410,Infinex,17.282839,-2.7329054,2
414,GINcoin,17.948475,-2.9636176,2
415,PlatinCoin,9.247958,3.1638649,2
416,Loki,9.610853,2.7742367,2
417,Newton Coin,2.2620883,3.1456559,2
420,MassGrid,16.369463,-2.0486894,2
422,PluraCoin,9.198623,3.0646284,2
430,PlusOneCoin,14.908416,-0.90963,2
436,Absolute Coin,10.315439,-14.239742,2
440,Webchain,9.9440565,2.6200953,2
441,Ryo,10.457814,2.4213293,2
443,Qwertycoin,1.9366204,3.181792,2
449,XDNA,10.490545,-13.826,2
456,CrypticCoin,13.381553,1.0719051,2
458,Actinium,17.946451,-2.9668267,2
462,FREDEnergy,8.815212,3.0309796,2
464,Universal Molecule,8.542139,4.6338754,2
465,Lithium,8.543027,4.6342382,2
467,Exosis,13.981335,-0.16034164,2
470,Beam,12.95573,0.715281,2
472,Bithereum,12.940246,0.6939597,2
489,UFO Coin,18.509888,-4.152995,2
491,BlakeCoin,8.401657,4.5527625,2
504,Groestlcoin,14.521808,-0.60288143,2
515,FriendshipCoin,10.063492,-14.867679,2
516,JoinCoin,18.408978,-3.2854095,2
518,Vollar,13.394969,0.4939334,2
520,Reality Clash,13.505861,-0.04410351,2
525,BitTorrent,0.7815514,3.5139537,2
529,Beldex,9.162008,3.037329,2
530,Horizen,12.831347,0.49897185,2
